"ranking","name","count","total","male","female","langs"
"4513","줄리아","49","49","0","49","@{ko=줄리아; en=Julria}"
"4513","지양","49","49","12","37","@{ko=지양; en=Jiyang}"
"4513","지엽","49","49","47","2","@{ko=지엽; en=Jiyeop}"
"4513","지준","49","49","49","0","@{ko=지준; en=Jijun}"
"4513","진무","49","49","49","0","@{ko=진무; en=Jinmu}"
"4513","필재","49","49","49","0","@{ko=필재; en=Piljae}"
"4513","하률","49","49","30","19","@{ko=하률; en=Haryul}"
"4513","헌수","49","49","49","0","@{ko=헌수; en=Heonsu}"
"4513","헤일리","49","49","1","48","@{ko=헤일리; en=Heilri}"
"4513","현휘","49","49","44","5","@{ko=현휘; en=Hyeonhwi}"
"4513","형균","49","49","49","0","@{ko=형균; en=Hyeonggyun}"
"4513","형래","49","49","49","0","@{ko=형래; en=Hyeongrae}"
"4513","형오","49","49","49","0","@{ko=형오; en=Hyeongo}"
"4513","화민","49","49","14","35","@{ko=화민; en=Hwamin}"
"4513","화현","49","49","13","36","@{ko=화현; en=Hwahyeon}"
"4513","휘랑","49","49","38","11","@{ko=휘랑; en=Hwirang}"
"4513","휘호","49","49","43","6","@{ko=휘호; en=Hwiho}"
"4565","광우","48","48","47","1","@{ko=광우; en=Gwangu}"
"4565","규오","48","48","48","0","@{ko=규오; en=Gyuo}"
"4565","규철","48","48","48","0","@{ko=규철; en=Gyucheol}"
"4565","규홍","48","48","47","1","@{ko=규홍; en=Gyuhong}"
"4565","근모","48","48","48","0","@{ko=근모; en=Geunmo}"
"4565","기산","48","48","48","0","@{ko=기산; en=Gisan}"
"4565","길우","48","48","47","1","@{ko=길우; en=Gilu}"
"4565","대산","48","48","48","0","@{ko=대산; en=Daesan}"
"4565","덕규","48","48","48","0","@{ko=덕규; en=Deokgyu}"
"4565","두성","48","48","48","0","@{ko=두성; en=Duseong}"
"4565","렌","48","48","46","2","@{ko=렌; en=Ren}"
"4565","루은","48","48","1","47","@{ko=루은; en=Rueun}"
"4565","리제","48","48","4","44","@{ko=리제; en=Rije}"
"4565","명하","48","48","42","6","@{ko=명하; en=Myeongha}"
"4565","명한","48","48","47","1","@{ko=명한; en=Myeonghan}"
"4565","모하","48","48","26","22","@{ko=모하; en=Moha}"
"4565","문현","48","48","42","6","@{ko=문현; en=Munhyeon}"
"4565","미엘","48","48","2","46","@{ko=미엘; en=Miel}"
"4565","민나","48","48","1","47","@{ko=민나; en=Minna}"
"4565","민도","48","48","48","0","@{ko=민도; en=Mindo}"
"4565","보광","48","48","47","1","@{ko=보광; en=Bogwang}"
"4565","본승","48","48","48","0","@{ko=본승; en=Bonseung}"
"4565","서흔","48","48","11","37","@{ko=서흔; en=Seoheun}"
"4565","수임","48","48","1","47","@{ko=수임; en=Suim}"
"4565","승휴","48","48","46","2","@{ko=승휴; en=Seunghyu}"
"4565","시정","48","48","19","29","@{ko=시정; en=Sijeong}"
"4565","여현","48","48","9","39","@{ko=여현; en=Yeohyeon}"
"4565","용일","48","48","48","0","@{ko=용일; en=Yongil}"
"4565","원휘","48","48","44","4","@{ko=원휘; en=Wonhwi}"
"4565","유사","48","48","26","22","@{ko=유사; en=Yusa}"
"4565","율언","48","48","45","3","@{ko=율언; en=Yuleon}"
"4565","의섭","48","48","48","0","@{ko=의섭; en=Uiseop}"
"4565","의지","48","48","30","18","@{ko=의지; en=Uiji}"
"4565","인승","48","48","43","5","@{ko=인승; en=Inseung}"
"4565","정자","48","48","0","48","@{ko=정자; en=Jeongja}"
"4565","종근","48","48","48","0","@{ko=종근; en=Jonggeun}"
"4565","지행","48","48","43","5","@{ko=지행; en=Jihaeng}"
"4565","천","48","48","36","12","@{ko=천; en=Cheon}"
"4565","천명","48","48","42","6","@{ko=천명; en=Cheonmyeong}"
"4565","충헌","48","48","47","1","@{ko=충헌; en=Chungheon}"
"4565","하나린","48","48","4","44","@{ko=하나린; en=Hanarin}"
"4565","한휘","48","48","44","4","@{ko=한휘; en=Hanhwi}"
"4565","해솜","48","48","0","48","@{ko=해솜; en=Haesom}"
"4565","현권","48","48","48","0","@{ko=현권; en=Hyeongwon}"
"4565","형모","48","48","47","1","@{ko=형모; en=Hyeongmo}"
"4565","황","48","48","41","7","@{ko=황; en=Hwang}"
"4565","희란","48","48","0","48","@{ko=희란; en=Huiran}"
"4565","희래","48","48","26","22","@{ko=희래; en=Huirae}"
"4565","히나","48","48","0","48","@{ko=히나; en=Hina}"
"4565","히엘","48","48","18","30","@{ko=히엘; en=Hiel}"
"4615","갈렙","47","47","47","0","@{ko=갈렙; en=Galrep}"
"4615","광윤","47","47","47","0","@{ko=광윤; en=Gwangyun}"
"4615","근오","47","47","46","1","@{ko=근오; en=Geuno}"
"4615","기창","47","47","47","0","@{ko=기창; en=Gichang}"
"4615","다결","47","47","23","24","@{ko=다결; en=Dagyeol}"
"4615","대관","47","47","47","0","@{ko=대관; en=Daegwan}"
"4615","두언","47","47","47","0","@{ko=두언; en=Dueon}"
"4615","래준","47","47","45","2","@{ko=래준; en=Raejun}"
"4615","로담","47","47","38","9","@{ko=로담; en=Rodam}"
"4615","리효","47","47","6","41","@{ko=리효; en=Rihyo}"
"4615","명보","47","47","45","2","@{ko=명보; en=Myeongbo}"
"4615","명헌","47","47","43","4","@{ko=명헌; en=Myeongheon}"
"4615","미사","47","47","0","47","@{ko=미사; en=Misa}"
"4615","민걸","47","47","47","0","@{ko=민걸; en=Mingeol}"
"4615","민윤","47","47","34","13","@{ko=민윤; en=Minyun}"
"4615","보서","47","47","11","36","@{ko=보서; en=Boseo}"
"4615","성기","47","47","47","0","@{ko=성기; en=Seonggi}"
"4615","소엘","47","47","6","41","@{ko=소엘; en=Soel}"
"4615","시용","47","47","46","1","@{ko=시용; en=Siyong}"
"4615","아일라","47","47","0","47","@{ko=아일라; en=Ailra}"
"4615","열","47","47","46","1","@{ko=열; en=Yeol}"
"4615","영관","47","47","47","0","@{ko=영관; en=Yeonggwan}"
"4615","영동","47","47","47","0","@{ko=영동; en=Yeongdong}"
"4615","요안나","47","47","0","47","@{ko=요안나; en=Yoanna}"
"4615","원률","47","47","45","2","@{ko=원률; en=Wonryul}"
"4615","유가","47","47","0","47","@{ko=유가; en=Yuga}"
"4615","정배","47","47","47","0","@{ko=정배; en=Jeongbae}"
"4615","정익","47","47","47","0","@{ko=정익; en=Jeongik}"
"4615","주운","47","47","38","9","@{ko=주운; en=Juun}"
"4615","지학","47","47","47","0","@{ko=지학; en=Jihak}"
"4615","창운","47","47","47","0","@{ko=창운; en=Changun}"
"4615","청명","47","47","42","5","@{ko=청명; en=Cheongmyeong}"
"4615","파랑","47","47","34","13","@{ko=파랑; en=Parang}"
"4615","학진","47","47","46","1","@{ko=학진; en=Hakjin}"
"4615","현국","47","47","47","0","@{ko=현국; en=Hyeonguk}"
"4615","홍경","47","47","34","13","@{ko=홍경; en=Honggyeong}"
"4615","휘동","47","47","47","0","@{ko=휘동; en=Hwidong}"
"4615","휘석","47","47","47","0","@{ko=휘석; en=Hwiseok}"
"4615","휘현","47","47","38","9","@{ko=휘현; en=Hwihyeon}"
"4654","가애","46","46","0","46","@{ko=가애; en=Gaae}"
"4654","가한","46","46","36","10","@{ko=가한; en=Gahan}"
"4654","강서","46","46","39","7","@{ko=강서; en=Gangseo}"
"4654","건찬","46","46","46","0","@{ko=건찬; en=Geonchan}"
"4654","관현","46","46","45","1","@{ko=관현; en=Gwanhyeon}"
"4654","관휘","46","46","46","0","@{ko=관휘; en=Gwanhwi}"
"4654","광모","46","46","46","0","@{ko=광모; en=Gwangmo}"
"4654","광석","46","46","46","0","@{ko=광석; en=Gwangseok}"
"4654","규윤","46","46","33","13","@{ko=규윤; en=Gyuyun}"
"4654","규택","46","46","46","0","@{ko=규택; en=Gyutaek}"
"4654","금찬","46","46","46","0","@{ko=금찬; en=Geumchan}"
"4654","기철","46","46","46","0","@{ko=기철; en=Gicheol}"
"4654","난영","46","46","0","46","@{ko=난영; en=Nanyeong}"
"4654","다오","46","46","35","11","@{ko=다오; en=Dao}"
"4654","대니","46","46","44","2","@{ko=대니; en=Daeni}"
"4654","덕환","46","46","46","0","@{ko=덕환; en=Deokhwan}"
"4654","려준","46","46","45","1","@{ko=려준; en=Ryeojun}"
"4654","무원","46","46","45","1","@{ko=무원; en=Muwon}"
"4654","민열","46","46","46","0","@{ko=민열; en=Minyeol}"
"4654","백건","46","46","46","0","@{ko=백건; en=Baekgeon}"
"4654","보형","46","46","31","15","@{ko=보형; en=Bohyeong}"
"4654","복음","46","46","29","17","@{ko=복음; en=Bokeum}"
"4654","본영","46","46","34","12","@{ko=본영; en=Bonyeong}"
"4654","산율","46","46","44","2","@{ko=산율; en=Sanyul}"
"4654","새한","46","46","45","1","@{ko=새한; en=Saehan}"
"4654","석연","46","46","36","10","@{ko=석연; en=Seokyeon}"
"4654","송헌","46","46","43","3","@{ko=송헌; en=Songheon}"
"4654","순자","46","46","0","46","@{ko=순자; en=Sunja}"
"4654","순현","46","46","44","2","@{ko=순현; en=Sunhyeon}"
"4654","승백","46","46","45","1","@{ko=승백; en=Seungbaek}"
"4654","아리솔","46","46","4","42","@{ko=아리솔; en=Arisol}"
"4654","영나","46","46","1","45","@{ko=영나; en=Yeongna}"
"4654","온후","46","46","42","4","@{ko=온후; en=Onhu}"
"4654","유랑","46","46","14","32","@{ko=유랑; en=Yurang}"
"4654","인웅","46","46","46","0","@{ko=인웅; en=Inung}"
"4654","정국","46","46","45","1","@{ko=정국; en=Jeongguk}"
"4654","정솔","46","46","24","22","@{ko=정솔; en=Jeongsol}"
"4654","찬구","46","46","46","0","@{ko=찬구; en=Changu}"
"4654","찬연","46","46","45","1","@{ko=찬연; en=Chanyeon}"
"4654","청우","46","46","43","3","@{ko=청우; en=Cheongu}"
"4654","한혁","46","46","46","0","@{ko=한혁; en=Hanhyeok}"
"4654","해울","46","46","19","27","@{ko=해울; en=Haeul}"
"4654","형운","46","46","46","0","@{ko=형운; en=Hyeongun}"
"4654","형중","46","46","46","0","@{ko=형중; en=Hyeongjung}"
"4654","혜이","46","46","0","46","@{ko=혜이; en=Hyei}"
"4654","호아","46","46","19","27","@{ko=호아; en=Hoa}"
"4654","호종","46","46","46","0","@{ko=호종; en=Hojong}"
"4654","화림","46","46","12","34","@{ko=화림; en=Hwarim}"
"4654","화수","46","46","32","14","@{ko=화수; en=Hwasu}"
"4654","휘린","46","46","5","41","@{ko=휘린; en=Hwirin}"
"4654","희소","46","46","10","36","@{ko=희소; en=Huiso}"
"4705","건재","45","45","45","0","@{ko=건재; en=Geonjae}"
"4705","경렬","45","45","45","0","@{ko=경렬; en=Gyeongryeol}"
"4705","광혁","45","45","45","0","@{ko=광혁; en=Gwanghyeok}"
"4705","규훈","45","45","45","0","@{ko=규훈; en=Gyuhun}"
"4705","기광","45","45","45","0","@{ko=기광; en=Gigwang}"
"4705","기탁","45","45","45","0","@{ko=기탁; en=Gitak}"
"4705","나금","45","45","0","45","@{ko=나금; en=Nageum}"
"4705","나일","45","45","40","5","@{ko=나일; en=Nail}"
"4705","남수","45","45","44","1","@{ko=남수; en=Namsu}"
"4705","대명","45","45","43","2","@{ko=대명; en=Daemyeong}"
"4705","대중","45","45","45","0","@{ko=대중; en=Daejung}"
"4705","동구","45","45","45","0","@{ko=동구; en=Donggu}"
"4705","라솔","45","45","12","33","@{ko=라솔; en=Rasol}"
"4705","래환","45","45","45","0","@{ko=래환; en=Raehwan}"
"4705","봄희","45","45","0","45","@{ko=봄희; en=Bomhui}"
"4705","브랜든","45","45","45","0","@{ko=브랜든; en=Beuraendeun}"
"4705","비야","45","45","5","40","@{ko=비야; en=Biya}"
"4705","사영","45","45","5","40","@{ko=사영; en=Sayeong}"
"4705","상문","45","45","44","1","@{ko=상문; en=Sangmun}"
"4705","성린","45","45","17","28","@{ko=성린; en=Seongrin}"
"4705","성애","45","45","0","45","@{ko=성애; en=Seongae}"
"4705","성협","45","45","45","0","@{ko=성협; en=Seonghyeop}"
"4705","신효","45","45","25","20","@{ko=신효; en=Sinhyo}"
"4705","에스라","45","45","31","14","@{ko=에스라; en=Eseura}"
"4705","연율","45","45","31","14","@{ko=연율; en=Yeonyul}"
"4705","예균","45","45","42","3","@{ko=예균; en=Yegyun}"
"4705","우나","45","45","0","45","@{ko=우나; en=Una}"
"4705","윤탁","45","45","45","0","@{ko=윤탁; en=Yuntak}"
"4705","은욱","45","45","44","1","@{ko=은욱; en=Eunuk}"
"4705","응찬","45","45","45","0","@{ko=응찬; en=Eungchan}"
"4705","일수","45","45","44","1","@{ko=일수; en=Ilsu}"
"4705","제진","45","45","42","3","@{ko=제진; en=Jejin}"
"4705","존","45","45","45","0","@{ko=존; en=Jon}"
"4705","종학","45","45","45","0","@{ko=종학; en=Jonghak}"
"4705","주황","45","45","43","2","@{ko=주황; en=Juhwang}"
"4705","준걸","45","45","45","0","@{ko=준걸; en=Jungeol}"
"4705","중서","45","45","43","2","@{ko=중서; en=Jungseo}"
"4705","진안","45","45","36","9","@{ko=진안; en=Jinan}"
"4705","창화","45","45","43","2","@{ko=창화; en=Changhwa}"
"4705","카일","45","45","45","0","@{ko=카일; en=Kail}"
"4705","택","45","45","45","0","@{ko=택; en=Taek}"
"4705","하신","45","45","32","13","@{ko=하신; en=Hasin}"
"4705","해규","45","45","41","4","@{ko=해규; en=Haegyu}"
"4705","형율","45","45","45","0","@{ko=형율; en=Hyeongyul}"
"4705","화빈","45","45","6","39","@{ko=화빈; en=Hwabin}"
"4705","훈기","45","45","45","0","@{ko=훈기; en=Hungi}"
"4705","휘우","45","45","38","7","@{ko=휘우; en=Hwiu}"
"4705","휘정","45","45","23","22","@{ko=휘정; en=Hwijeong}"
"4753","가란","44","44","0","44","@{ko=가란; en=Garan}"
"4753","강규","44","44","44","0","@{ko=강규; en=Ganggyu}"
"4753","경용","44","44","44","0","@{ko=경용; en=Gyeongyong}"
"4753","교범","44","44","44","0","@{ko=교범; en=Gyobeom}"
"4753","권능","44","44","42","2","@{ko=권능; en=Gwonneung}"
"4753","규령","44","44","4","40","@{ko=규령; en=Gyuryeong}"
"4753","니엘","44","44","27","17","@{ko=니엘; en=Niel}"
"4753","동륜","44","44","43","1","@{ko=동륜; en=Dongryun}"
"4753","드보라","44","44","0","44","@{ko=드보라; en=Deubora}"
"4753","락현","44","44","44","0","@{ko=락현; en=Rakhyeon}"
"4753","령아","44","44","2","42","@{ko=령아; en=Ryeonga}"
"4753","로완","44","44","40","4","@{ko=로완; en=Rowan}"
"4753","록기","44","44","44","0","@{ko=록기; en=Rokgi}"
"4753","루마","44","44","41","3","@{ko=루마; en=Ruma}"
"4753","무휼","44","44","44","0","@{ko=무휼; en=Muhyul}"
"4753","미카","44","44","11","33","@{ko=미카; en=Mika}"
"4753","병휘","44","44","44","0","@{ko=병휘; en=Byeonghwi}"
"4753","본찬","44","44","44","0","@{ko=본찬; en=Bonchan}"
"4753","상완","44","44","44","0","@{ko=상완; en=Sangwan}"
"4753","상학","44","44","44","0","@{ko=상학; en=Sanghak}"
"4753","선한","44","44","36","8","@{ko=선한; en=Seonhan}"
"4753","소해","44","44","1","43","@{ko=소해; en=Sohae}"
"4753","수명","44","44","39","5","@{ko=수명; en=Sumyeong}"
"4753","슬온","44","44","25","19","@{ko=슬온; en=Seulon}"
"4753","영남","44","44","40","4","@{ko=영남; en=Yeongnam}"
"4753","예임","44","44","1","43","@{ko=예임; en=Yeim}"
"4753","원창","44","44","44","0","@{ko=원창; en=Wonchang}"
"4753","유리아","44","44","0","44","@{ko=유리아; en=Yuria}"
"4753","유섬","44","44","40","4","@{ko=유섬; en=Yuseom}"
"4753","윤헌","44","44","44","0","@{ko=윤헌; en=Yunheon}"
"4753","은일","44","44","41","3","@{ko=은일; en=Eunil}"
"4753","인제","44","44","42","2","@{ko=인제; en=Inje}"
"4753","장수","44","44","43","1","@{ko=장수; en=Jangsu}"
"4753","재무","44","44","44","0","@{ko=재무; en=Jaemu}"
"4753","조단","44","44","43","1","@{ko=조단; en=Jodan}"
"4753","주광","44","44","44","0","@{ko=주광; en=Jugwang}"
"4753","중근","44","44","44","0","@{ko=중근; en=Junggeun}"
"4753","차오름","44","44","32","12","@{ko=차오름; en=Chaoreum}"
"4753","창조","44","44","37","7","@{ko=창조; en=Changjo}"
"4753","천수","44","44","39","5","@{ko=천수; en=Cheonsu}"
"4753","체리","44","44","0","44","@{ko=체리; en=Cheri}"
"4753","충원","44","44","44","0","@{ko=충원; en=Chungwon}"
"4753","충희","44","44","43","1","@{ko=충희; en=Chunghui}"
"4753","한동","44","44","44","0","@{ko=한동; en=Handong}"
"4753","한용","44","44","44","0","@{ko=한용; en=Hanyong}"
"4753","해란","44","44","0","44","@{ko=해란; en=Haeran}"
"4753","해신","44","44","37","7","@{ko=해신; en=Haesin}"
"4753","해지","44","44","5","39","@{ko=해지; en=Haeji}"
"4753","형수","44","44","44","0","@{ko=형수; en=Hyeongsu}"
"4753","회민","44","44","37","7","@{ko=회민; en=Hoemin}"
"4753","효희","44","44","6","38","@{ko=효희; en=Hyohui}"
"4753","휘근","44","44","44","0","@{ko=휘근; en=Hwigeun}"
"4805","경혜","43","43","0","43","@{ko=경혜; en=Gyeonghye}"
"4805","근욱","43","43","43","0","@{ko=근욱; en=Geunuk}"
"4805","기람","43","43","36","7","@{ko=기람; en=Giram}"
"4805","나후","43","43","29","14","@{ko=나후; en=Nahu}"
"4805","덕윤","43","43","41","2","@{ko=덕윤; en=Deokyun}"
"4805","덕호","43","43","43","0","@{ko=덕호; en=Deokho}"
"4805","도훤","43","43","43","0","@{ko=도훤; en=Dohwon}"
"4805","동제","43","43","43","0","@{ko=동제; en=Dongje}"
"4805","두혁","43","43","43","0","@{ko=두혁; en=Duhyeok}"
"4805","류건","43","43","43","0","@{ko=류건; en=Ryugeon}"
"4805","범한","43","43","43","0","@{ko=범한; en=Beomhan}"
"4805","본하","43","43","27","16","@{ko=본하; en=Bonha}"
"4805","비담","43","43","26","17","@{ko=비담; en=Bidam}"
"4805","빛가람","43","43","34","9","@{ko=빛가람; en=Bitgaram}"
"4805","상찬","43","43","43","0","@{ko=상찬; en=Sangchan}"
"4805","성복","43","43","41","2","@{ko=성복; en=Seongbok}"
"4805","성천","43","43","42","1","@{ko=성천; en=Seongcheon}"
"4805","소랑","43","43","6","37","@{ko=소랑; en=Sorang}"
"4805","순화","43","43","1","42","@{ko=순화; en=Sunhwa}"
"4805","양희","43","43","18","25","@{ko=양희; en=Yanghui}"
"4805","언지","43","43","1","42","@{ko=언지; en=Eonji}"
"4805","에단","43","43","40","3","@{ko=에단; en=Edan}"
"4805","엘리아나","43","43","0","43","@{ko=엘리아나; en=Elriana}"
"4805","영국","43","43","43","0","@{ko=영국; en=Yeongguk}"
"4805","예함","43","43","23","20","@{ko=예함; en=Yeham}"
"4805","오늘","43","43","19","24","@{ko=오늘; en=Oneul}"
"4805","오민","43","43","43","0","@{ko=오민; en=Omin}"
"4805","용아","43","43","32","11","@{ko=용아; en=Yonga}"
"4805","운주","43","43","13","30","@{ko=운주; en=Unju}"
"4805","유열","43","43","43","0","@{ko=유열; en=Yuyeol}"
"4805","윤보","43","43","43","0","@{ko=윤보; en=Yunbo}"
"4805","율겸","43","43","31","12","@{ko=율겸; en=Yulgyeom}"
"4805","은홍","43","43","15","28","@{ko=은홍; en=Eunhong}"
"4805","은휴","43","43","23","20","@{ko=은휴; en=Eunhyu}"
"4805","의율","43","43","34","9","@{ko=의율; en=Uiyul}"
"4805","이신","43","43","34","9","@{ko=이신; en=Isin}"
"4805","인나","43","43","0","43","@{ko=인나; en=Inna}"
"4805","자원","43","43","18","25","@{ko=자원; en=Jawon}"
"4805","정표","43","43","43","0","@{ko=정표; en=Jeongpyo}"
"4805","제니퍼","43","43","0","43","@{ko=제니퍼; en=Jenipeo}"
"4805","준배","43","43","43","0","@{ko=준배; en=Junbae}"
"4805","진일","43","43","43","0","@{ko=진일; en=Jinil}"
"4805","찬섭","43","43","43","0","@{ko=찬섭; en=Chanseop}"
"4805","태왕","43","43","43","0","@{ko=태왕; en=Taewang}"
"4805","태조","43","43","41","2","@{ko=태조; en=Taejo}"
"4805","하련","43","43","4","39","@{ko=하련; en=Haryeon}"
"4805","하오","43","43","40","3","@{ko=하오; en=Hao}"
"4805","현익","43","43","43","0","@{ko=현익; en=Hyeonik}"
"4805","환석","43","43","43","0","@{ko=환석; en=Hwanseok}"
"4805","환영","43","43","41","2","@{ko=환영; en=Hwanyeong}"
"4805","휘도","43","43","42","1","@{ko=휘도; en=Hwido}"
"4856","가온누리","42","42","20","22","@{ko=가온누리; en=Gaonnuri}"
"4856","가준","42","42","41","1","@{ko=가준; en=Gajun}"
"4856","겨레","42","42","29","13","@{ko=겨레; en=Gyeore}"
"4856","고건","42","42","42","0","@{ko=고건; en=Gogeon}"
"4856","관","42","42","41","1","@{ko=관; en=Gwan}"
"4856","광은","42","42","41","1","@{ko=광은; en=Gwangeun}"
"4856","기덕","42","42","42","0","@{ko=기덕; en=Gideok}"
"4856","나휘","42","42","7","35","@{ko=나휘; en=Nahwi}"
"4856","늘봄","42","42","6","36","@{ko=늘봄; en=Neulbom}"
"4856","다선","42","42","8","34","@{ko=다선; en=Daseon}"
"4856","다이","42","42","3","39","@{ko=다이; en=Dai}"
"4856","다홍","42","42","2","40","@{ko=다홍; en=Dahong}"
"4856","도의","42","42","24","18","@{ko=도의; en=Doui}"
"4856","동학","42","42","42","0","@{ko=동학; en=Donghak}"
"4856","록현","42","42","41","1","@{ko=록현; en=Rokhyeon}"
"4856","루연","42","42","11","31","@{ko=루연; en=Ruyeon}"
"4856","마미","42","42","0","42","@{ko=마미; en=Mami}"
"4856","메이슨","42","42","42","0","@{ko=메이슨; en=Meiseun}"
"4856","명교","42","42","27","15","@{ko=명교; en=Myeonggyo}"
"4856","명식","42","42","41","1","@{ko=명식; en=Myeongsik}"
"4856","바로","42","42","40","2","@{ko=바로; en=Baro}"
"4856","새결","42","42","29","13","@{ko=새결; en=Saegyeol}"
"4856","새찬","42","42","42","0","@{ko=새찬; en=Saechan}"
"4856","선태","42","42","42","0","@{ko=선태; en=Seontae}"
"4856","소령","42","42","2","40","@{ko=소령; en=Soryeong}"
"4856","수담","42","42","17","25","@{ko=수담; en=Sudam}"
"4856","숲","42","42","20","22","@{ko=숲; en=Sup}"
"4856","슬호","42","42","41","1","@{ko=슬호; en=Seulho}"
"4856","시목","42","42","40","2","@{ko=시목; en=Simok}"
"4856","여해","42","42","19","23","@{ko=여해; en=Yeohae}"
"4856","영랑","42","42","23","19","@{ko=영랑; en=Yeongrang}"
"4856","영무","42","42","42","0","@{ko=영무; en=Yeongmu}"
"4856","영산","42","42","41","1","@{ko=영산; en=Yeongsan}"
"4856","온별","42","42","13","29","@{ko=온별; en=Onbyeol}"
"4856","온찬","42","42","42","0","@{ko=온찬; en=Onchan}"
"4856","웅기","42","42","42","0","@{ko=웅기; en=Unggi}"
"4856","원효","42","42","41","1","@{ko=원효; en=Wonhyo}"
"4856","유리나","42","42","0","42","@{ko=유리나; en=Yurina}"
"4856","유운","42","42","30","12","@{ko=유운; en=Yuun}"
"4856","이사벨","42","42","0","42","@{ko=이사벨; en=Isabel}"
"4856","장운","42","42","42","0","@{ko=장운; en=Jangun}"
"4856","장윤","42","42","39","3","@{ko=장윤; en=Jangyun}"
"4856","정경","42","42","17","25","@{ko=정경; en=Jeonggyeong}"
"4856","제언","42","42","35","7","@{ko=제언; en=Jeeon}"
"4856","종철","42","42","42","0","@{ko=종철; en=Jongcheol}"
"4856","중헌","42","42","42","0","@{ko=중헌; en=Jungheon}"
"4856","지소","42","42","5","37","@{ko=지소; en=Jiso}"
"4856","지협","42","42","42","0","@{ko=지협; en=Jihyeop}"
"4856","찬들","42","42","41","1","@{ko=찬들; en=Chandeul}"
"4856","창완","42","42","42","0","@{ko=창완; en=Changwan}"
"4856","탄희","42","42","29","13","@{ko=탄희; en=Tanhui}"
"4856","태백","42","42","42","0","@{ko=태백; en=Taebaek}"
"4856","태열","42","42","42","0","@{ko=태열; en=Taeyeol}"
"4856","태황","42","42","42","0","@{ko=태황; en=Taehwang}"
"4856","토마스","42","42","42","0","@{ko=토마스; en=Tomaseu}"
"4856","한림","42","42","36","6","@{ko=한림; en=Hanrim}"
"4856","한범","42","42","42","0","@{ko=한범; en=Hanbeom}"
"4856","현은","42","42","15","27","@{ko=현은; en=Hyeoneun}"
"4856","현혜","42","42","0","42","@{ko=현혜; en=Hyeonhye}"
"4856","현홍","42","42","37","5","@{ko=현홍; en=Hyeonhong}"
"4856","혜신","42","42","6","36","@{ko=혜신; en=Hyesin}"
"4856","호랑","42","42","35","7","@{ko=호랑; en=Horang}"
"4918","강해","41","41","37","4","@{ko=강해; en=Ganghae}"
"4918","경숙","41","41","0","41","@{ko=경숙; en=Gyeongsuk}"
"4918","교선","41","41","30","11","@{ko=교선; en=Gyoseon}"
"4918","길","41","41","38","3","@{ko=길; en=Gil}"
"4918","남일","41","41","41","0","@{ko=남일; en=Namil}"
"4918","다찬","41","41","41","0","@{ko=다찬; en=Dachan}"
"4918","다후","41","41","27","14","@{ko=다후; en=Dahu}"
"4918","단경","41","41","5","36","@{ko=단경; en=Dangyeong}"
"4918","대협","41","41","41","0","@{ko=대협; en=Daehyeop}"
"4918","락희","41","41","22","19","@{ko=락희; en=Rakhui}"
"4918","로겸","41","41","38","3","@{ko=로겸; en=Rogyeom}"
"4918","로제","41","41","3","38","@{ko=로제; en=Roje}"
"4918","명아","41","41","3","38","@{ko=명아; en=Myeonga}"
"4918","무연","41","41","38","3","@{ko=무연; en=Muyeon}"
"4918","미건","41","41","9","32","@{ko=미건; en=Migeon}"
"4918","미담","41","41","8","33","@{ko=미담; en=Midam}"
"4918","미오","41","41","4","37","@{ko=미오; en=Mio}"
"4918","병화","41","41","40","1","@{ko=병화; en=Byeonghwa}"
"4918","본민","41","41","37","4","@{ko=본민; en=Bonmin}"
"4918","서래","41","41","21","20","@{ko=서래; en=Seorae}"
"4918","서일","41","41","38","3","@{ko=서일; en=Seoil}"
"4918","선의","41","41","20","21","@{ko=선의; en=Seonui}"
"4918","선찬","41","41","41","0","@{ko=선찬; en=Seonchan}"
"4918","세열","41","41","41","0","@{ko=세열; en=Seyeol}"
"4918","수운","41","41","16","25","@{ko=수운; en=Suun}"
"4918","승국","41","41","41","0","@{ko=승국; en=Seungguk}"
"4918","시양","41","41","25","16","@{ko=시양; en=Siyang}"
"4918","연의","41","41","8","33","@{ko=연의; en=Yeonui}"
"4918","연종","41","41","39","2","@{ko=연종; en=Yeonjong}"
"4918","연중","41","41","40","1","@{ko=연중; en=Yeonjung}"
"4918","예모","41","41","28","13","@{ko=예모; en=Yemo}"
"4918","오빈","41","41","29","12","@{ko=오빈; en=Obin}"
"4918","완호","41","41","41","0","@{ko=완호; en=Wanho}"
"4918","운정","41","41","7","34","@{ko=운정; en=Unjeong}"
"4918","원익","41","41","41","0","@{ko=원익; en=Wonik}"
"4918","윤익","41","41","40","1","@{ko=윤익; en=Yunik}"
"4918","은평","41","41","34","7","@{ko=은평; en=Eunpyeong}"
"4918","인식","41","41","41","0","@{ko=인식; en=Insik}"
"4918","인엽","41","41","40","1","@{ko=인엽; en=Inyeop}"
"4918","정도","41","41","41","0","@{ko=정도; en=Jeongdo}"
"4918","종권","41","41","41","0","@{ko=종권; en=Jonggwon}"
"4918","주흔","41","41","24","17","@{ko=주흔; en=Juheun}"
"4918","준혜","41","41","5","36","@{ko=준혜; en=Junhye}"
"4918","지을","41","41","15","26","@{ko=지을; en=Jieul}"
"4918","차온","41","41","28","13","@{ko=차온; en=Chaon}"
"4918","창일","41","41","41","0","@{ko=창일; en=Changil}"
